method,estimate,flow,cq,runid
pw,12.610761862569312,base,dilution,2
beale,12.24771003773063,base,dilution,2
rating,10.512409202624575,base,dilution,2
composite,10.329729534137687,base,dilution,2
truth,10.650080423720961,base,dilution,2
pw,33.89146811246051,storm,dilution,2
beale,29.287546832551204,storm,dilution,2
rating,11.512726218258855,storm,dilution,2
composite,10.284961590180481,storm,dilution,2
truth,14.907838524041587,storm,dilution,2
pw,13.80326294858012,unaltered,dilution,2
beale,13.291721434996836,unaltered,dilution,2
rating,10.65654945616331,unaltered,dilution,2
composite,10.439432167420769,unaltered,dilution,2
truth,11.588918749673205,unaltered,dilution,2
pw,4.189365409746436,base,enrich,2
beale,4.422956153552603,base,enrich,2
rating,8.402138471898908,base,enrich,2
composite,8.810121423287889,base,enrich,2
truth,7.97713200146092,base,enrich,2
pw,2.6020214186686665,storm,enrich,2
beale,3.423664271419066,storm,enrich,2
rating,45.747911991995636,storm,enrich,2
composite,51.90276440091303,storm,enrich,2
truth,57.82240956666828,storm,enrich,2
pw,4.041317814331386,unaltered,enrich,2
beale,4.340227990345549,unaltered,enrich,2
rating,10.973382582334263,unaltered,enrich,2
composite,11.75766992379214,unaltered,enrich,2
truth,10.635500894772898,unaltered,enrich,2
pw,12.523143767652927,base,none,2
beale,12.595115151481481,base,none,2
rating,11.56494686719487,base,none,2
composite,12.362241606325465,base,none,2
truth,13.308503646082201,base,none,2
pw,12.376605646227079,storm,none,2
beale,12.467771838398157,storm,none,2
rating,10.793065446010884,storm,none,2
composite,11.726601779907764,storm,none,2
truth,13.280629563119234,storm,none,2
pw,12.45889768826651,unaltered,none,2
beale,12.56128191194189,unaltered,none,2
rating,11.408573228692447,unaltered,none,2
composite,12.228878919516529,unaltered,none,2
truth,13.317891097493021,unaltered,none,2
pw,13.313411428782148,base,chemostatic,2
beale,13.256366279705674,base,chemostatic,2
rating,13.109207262035698,base,chemostatic,2
composite,13.094219414929766,base,chemostatic,2
truth,13.308503646082201,base,chemostatic,2
pw,13.264713148258952,storm,chemostatic,2
beale,13.098931893832535,storm,chemostatic,2
rating,12.600224579175013,storm,chemostatic,2
composite,12.580529806174146,storm,chemostatic,2
truth,13.261943228851734,storm,chemostatic,2
pw,13.295057207794422,unaltered,chemostatic,2
beale,13.229330565392925,unaltered,chemostatic,2
rating,13.029266547665967,unaltered,chemostatic,2
composite,13.013568890071737,unaltered,chemostatic,2
truth,13.301136302186217,unaltered,chemostatic,2
pw,12.607091908790672,base,dilution,1
beale,12.078458358960052,base,dilution,1
rating,10.423884189401727,base,dilution,1
composite,10.307531148324177,base,dilution,1
truth,10.671564292674452,base,dilution,1
pw,34.36649708631951,storm,dilution,1
beale,28.012350570672627,storm,dilution,1
rating,11.430146807211843,storm,dilution,1
composite,10.632177880432845,storm,dilution,1
truth,15.446294626854487,storm,dilution,1
pw,13.851835237743222,unaltered,dilution,1
beale,13.092219697736994,unaltered,dilution,1
rating,10.570808434767923,unaltered,dilution,1
composite,10.436626168712998,unaltered,dilution,1
truth,11.505605682677755,unaltered,dilution,1
pw,4.514414965348433,base,enrich,1
beale,4.70461860413521,base,enrich,1
rating,8.6012964298925,base,enrich,1
composite,9.166880387039335,base,enrich,1
truth,7.965677952454583,base,enrich,1
pw,2.812153792115331,storm,enrich,1
beale,3.6101755830287336,storm,enrich,1
rating,43.267052855098065,storm,enrich,1
composite,51.266616576334044,storm,enrich,1
truth,56.92732385134206,storm,enrich,1
pw,4.354104699936525,unaltered,enrich,1
beale,4.610421958972118,unaltered,enrich,1
rating,11.245997034373927,unaltered,enrich,1
composite,12.34204668033922,unaltered,enrich,1
truth,10.593246862427629,unaltered,enrich,1
pw,13.716054345024387,base,none,1
beale,13.855442014512066,base,none,1
rating,13.653450107834606,base,none,1
composite,14.188058989786219,base,none,1
truth,13.31074638407813,base,none,1
pw,14.118294003042134,storm,none,1
beale,14.223597012642376,storm,none,1
rating,14.255263495677442,storm,none,1
composite,15.004862951336728,storm,none,1
truth,13.258843194256624,storm,none,1
pw,13.764031646205714,unaltered,none,1
beale,13.905180398237528,unaltered,none,1
rating,13.770392819091354,unaltered,none,1
composite,14.31810031979921,unaltered,none,1
truth,13.294799821467015,unaltered,none,1
pw,13.17038548105281,base,chemostatic,1
beale,13.178340571387436,base,chemostatic,1
rating,13.269387511445762,base,chemostatic,1
composite,13.295984231109763,base,chemostatic,1
truth,13.31074638407813,base,chemostatic,1
pw,13.220656469428224,storm,chemostatic,1
beale,13.184980089446157,storm,chemostatic,1
rating,13.428226933537918,storm,chemostatic,1
composite,13.458220894620492,storm,chemostatic,1
truth,13.268299338717819,storm,chemostatic,1
pw,13.169830990277008,unaltered,chemostatic,1
beale,13.174944975667058,unaltered,chemostatic,1
rating,13.289319338559576,unaltered,chemostatic,1
composite,13.313416905100517,unaltered,chemostatic,1
truth,13.303899150876726,unaltered,chemostatic,1
